15 10
T2 5 4
Z1 1 6
O 2 -1
I2 3 1
T3 1 3
L1 3 -2
Z2 5 4
Z1 6 -1
T2 5 2
Z2 7 -4
I2 7 -3
S2 9 -1
T2 8 1
L3 3 -2
O 1 3
J1 4 2
S1 6 2
S2 9 -4
T3 4 2
L1 2 -1
L3 1 0
J3 4 -1
Z2 1 3
I1 5 -2
T1 1 1
J2 6 2
Z2 2 4
O 1 3
J1 4 2
S1 6 2
S2 9 -1
O 2 -1
J3 5 -2
S1 3 -2
Z1 1 3
Z2 2 4
L3 6 3
L4 1 2
T4 3 -2
J3 7 1
I1 9 -3
J2 1 1
I1 6 4
J4 6 1
I2 3 4
O 9 -6
I1 10 -5
I1 3 -1
O 2 1
L4 3 4
Z2 2 4
T4 7 1
I2 1 2
I1 8 2
T1 7 1
O 1 3
L1 4 2
L2 6 1
J3 2 1
I1 4 -2
S2 5 4
O 1 6
T1 8 -4
T1 8 -6
J4 5 3
S1 1 4
O 1 3
O 1 1
I1 1 0
I1 1 0
I1 1 0
I2 6 0
I1 9 -8
O 9 -7
O 9 -5
O 1 7
O 1 5
I2 1 1
I2 1 5
I1 1 9
T2 5 4
Z1 1 6
O 2 -1
I2 3 1
T3 1 3
L1 3 -2
Z2 5 4
Z1 6 -1
T2 5 2
Z2 7 -4
I2 7 -3
S2 9 -1
T2 8 1
L3 3 -2
O 1 3
J1 4 2
S1 6 2
S2 9 -4
T3 4 2
L1 2 -1
L3 1 0
J3 4 -1
Z2 1 3
I1 5 -2
T1 1 1
J2 6 2
Z2 2 4
O 1 3
J1 4 2
S1 6 2
S2 9 -1
O 2 -1
J3 5 -2
S1 3 -2
Z1 1 3
Z2 2 4
L3 6 3
L4 1 2
T4 3 -2
J3 7 1
I1 9 -3
J2 1 1
I1 6 4
J4 6 1
I2 3 4
O 9 -6
I1 10 -5
I1 3 -1
O 2 1
L4 3 4
Z2 2 4
T4 7 1
I2 1 2
I1 8 2
T1 7 1
O 1 3
L1 4 2
L2 6 1
J3 2 1
I1 4 -2
S2 5 4
O 1 6
T1 8 -4
T1 8 -6
J4 5 3
S1 1 4
O 1 3
O 1 1
I1 1 0
I1 1 0
I1 1 0
I2 6 0
I1 9 -8
O 9 -7
O 9 -5
O 1 7
O 1 5
I2 1 1
I2 1 5
I1 1 9
Z1 8 -7
Z2 2 -1
L4 8 -4
Z1 3 -1
I2 1 4
O 9 -1
L3 5 4
J3 2 2
T3 8 -3
End
