15 10
L1 3 -2
O 5 3
Z1 1 1
J1 6 0
T4 7 -2
L1 3 -1
T1 2 3
L3 5 -2
O 4 4
I1 10 0
I2 7 -3
J2 8 0
S2 6 -4
J3 2 2
O 6 -1
Z2 6 3
S2 1 1
L3 9 -3
T4 3 5
Z1 7 1
O 3 3
L4 5 -2
I1 9 -8
J3 1 0
J4 5 -4
L2 2 2
T2 4 2
S1 6 -2
T3 3 -2
O 8 0
I1 5 5
Z1 1 1
I1 3 -2
O 2 0
L1 5 -1
O 4 1
J1 7 -1
L4 2 6
J4 1 7
O 9 -1
L1 3 -2
O 5 3
Z1 1 1
J1 6 0
T4 7 -2
L1 3 -1
T1 2 3
L3 5 -2
O 4 4
I1 10 0
I2 7 -3
J2 8 0
S2 6 -4
J3 2 2
O 6 -1
Z2 6 3
S2 1 1
L3 9 -3
T4 3 5
Z1 7 1
O 3 3
L4 5 -2
I1 9 -8
J3 1 0
J4 5 -4
L2 2 2
T2 4 2
S1 6 -2
T3 3 -2
O 8 0
I1 5 5
Z1 1 1
I1 3 -2
O 2 0
L1 5 -1
O 4 1
J1 7 -1
L4 2 6
J4 1 7
O 9 -1
L1 3 -2
O 5 3
Z1 1 1
J1 6 0
T4 7 -2
L1 3 -1
T1 2 3
L3 5 -2
O 4 4
I1 10 0
I2 7 -3
J2 8 0
S2 6 -4
J3 2 2
O 6 -1
Z2 6 3
S2 1 1
L3 9 -3
T4 3 5
Z1 7 1
O 3 3
L4 5 -2
I1 9 -8
J3 1 0
J4 5 -4
L2 2 2
T2 4 2
S1 6 -2
T3 3 -2
O 8 0
I1 5 5
Z1 1 1
I1 3 -2
O 2 0
L1 5 -1
O 4 1
J1 7 -1
L4 2 6
J4 1 7
O 9 -1
L1 3 -2
O 5 3
Z1 1 1
J1 6 0
T4 7 -2
L1 3 -1
T1 2 3
L3 5 -2
O 4 4
I1 10 0
I2 7 -3
J2 8 0
S2 6 -4
J3 2 2
O 6 -1
Z2 6 3
S2 1 1
L3 9 -3
T4 3 5
Z1 7 1
O 3 3
L4 5 -2
I1 9 -8
J3 1 0
J4 5 -4
L2 2 2
T2 4 2
S1 6 -2
T3 3 -2
O 8 0
I1 5 5
Z1 1 1
I1 3 -2
O 2 0
L1 5 -1
O 4 1
J1 7 -1
L4 2 6
J4 1 7
O 9 -1
L1 3 -2
O 5 3
Z1 1 1
J1 6 0
T4 7 -2
L1 3 -1
T1 2 3
L3 5 -2
O 4 4
I1 10 0
I2 7 -3
J2 8 0
S2 6 -4
J3 2 2
O 6 -1
Z2 6 3
S2 1 1
L3 9 -3
T4 3 5
Z1 7 1
O 3 3
L4 5 -2
I1 9 -8
J3 1 0
J4 5 -4
L2 2 2
T2 4 2
S1 6 -2
End
