15 40
I2 1 0
I2 1 4
I2 1 8
I2 1 12
I2 1 16
I2 1 20
I2 1 24
I2 1 28
I2 1 32
I2 1 36
J1 30 -29
O 10 6
I1 33 -10
I1 18 4
L2 38 -6
L4 35 -2
J4 13 -4
J2 3 5
J3 1 0
O 33 -1
L1 32 0
O 11 -4
J2 38 -2
J4 38 -1
O 8 -2
O 7 -2
O 6 -2
O 5 -2
L1 2 -1
L3 1 0
O 3 7
I1 1 1
I1 1 0
J1 31 7
L3 31 1
J3 38 0
O 16 0
O 16 0
L1 16 0
L3 16 0
I2 17 -4
I2 13 4
I2 16 -3
I2 13 4
J1 10 0
J3 10 0
L1 9 1
L3 10 0
J1 33 -1
J3 32 0
L1 38 0
L3 38 0
O 37 1
O 28 0
O 23 -1
O 27 1
O 29 -1
I2 19 3
I2 22 4
I2 28 -2
I2 28 -6
I1 22 7
O 26 -4
I1 24 4
O 22 0
End
